neighbourhood,latitude,longitude,neighbourhood_group
Leblon,-22.983798642503015,-43.22534136126719,Zona Sul
Ipanema,-23.012067310713917,-43.19571344317156,Zona Sul
São Conrado,-22.992018564945912,-43.2685407470105,Zona Sul
Pedra de Guaratiba,-22.99816589154409,-43.63772881822234,Guaratiba
Recreio dos Bandeirantes,-23.015095704617927,-43.48082798709478,Barra da Tijuca
Vidigal,-22.99474224028973,-43.239963205151085,Zona Sul
Joá,-23.007961594017708,-43.28722136966442,Barra da Tijuca
Barra de Guaratiba,-23.03902733320162,-43.55040537804666,Guaratiba
Grumari,-23.04675892022235,-43.53091530183831,Barra da Tijuca
Caju,-22.87919276934465,-43.22143836032733,Centro
Deodoro,-22.851336613340127,-43.38638999346183,Realengo
Gericinó,-22.833013408865146,-43.47466250939869,Bangu
